N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS,IDPERSONA
4,3,2,1,5.04,1.02,17.87,2,2,0.75,2612
1,1,0,0,10.67,10.67,10.67,1,1,1.0,2626
3,3,2,1,4.44,1.8,10.76,2,2,1.0,2637
7,6,3,3,0.72,0.43,1.3,2,2,0.857,2651
1,1,0,0,6.18,6.18,6.18,1,1,1.0,2655
1,1,0,0,0.36,0.36,0.36,1,1,1.0,2657
3,2,2,1,1.2,1.2,2.14,2,1,0.667,2663
3,2,1,1,7.02,1.12,19.77,2,2,0.667,2693
5,5,4,3,2.66,1.0,9.93,2,2,1.0,2696
4,4,3,1,3.47,3.65,6.25,2,2,1.0,2701
7,6,6,2,2.08,1.63,5.83,2,2,0.857,2704
1,1,0,0,0.59,0.59,0.59,1,1,1.0,2710
4,3,3,2,3.75,1.55,11.71,2,2,0.75,2735
9,9,7,3,3.17,0.87,11.71,2,2,1.0,2748
4,4,3,1,6.88,6.46,13.58,2,2,1.0,2751
2,2,1,0,5.27,5.27,5.42,1,1,1.0,2753
5,5,2,1,2.98,1.83,9.29,2,2,1.0,2755
2,2,1,0,5.45,5.45,8.96,1,1,1.0,2803
1,1,0,0,3.34,3.34,3.34,1,1,1.0,2815
3,3,2,1,5.68,3.75,11.71,2,2,1.0,2823
1,1,0,0,3.42,3.42,3.42,1,1,1.0,2824
10,4,2,0,0.92,0.14,7.68,1,1,0.4,2830
4,3,2,2,4.73,1.67,15.34,3,3,0.75,2834
4,4,3,1,4.42,2.5,11.71,2,2,1.0,2843
1,1,0,0,10.0,10.0,10.0,1,1,1.0,2844
3,2,2,1,3.76,2.41,8.79,2,2,0.667,2846
2,2,1,1,2.17,2.17,3.34,2,2,1.0,2850
4,4,3,1,6.42,6.62,9.41,2,2,1.0,2857
1,1,0,0,1.96,1.96,1.96,1,1,1.0,2888
2,2,1,1,10.39,10.39,11.71,2,2,1.0,2904
1,1,0,0,0.38,0.38,0.38,1,1,1.0,2930
4,4,3,1,3.45,2.99,6.46,2,2,1.0,2950
1,1,0,0,5.34,5.34,5.34,1,1,1.0,2957
2,2,1,1,3.45,3.45,4.92,2,2,1.0,2962
2,2,1,0,0.78,0.78,0.96,1,1,1.0,2966
3,3,2,1,6.31,8.83,8.91,2,2,1.0,3000
3,3,2,1,6.06,4.0,10.49,2,2,1.0,3009
1,1,0,0,0.38,0.38,0.38,1,1,1.0,3015
1,1,0,0,3.29,3.29,3.29,1,1,1.0,3017
1,1,0,0,0.28,0.28,0.28,1,1,1.0,3025
7,6,4,1,2.3,1.63,5.41,2,2,0.857,3057
1,1,0,0,4.34,4.34,4.34,1,1,1.0,3060
2,2,1,1,5.48,5.48,8.38,2,2,1.0,3078
5,4,4,2,3.02,2.91,5.78,2,2,0.8,3088
3,2,2,1,5.93,0.38,17.33,2,2,0.667,3093
2,2,1,0,2.85,2.85,4.29,1,1,1.0,3095
10,9,6,5,1.43,1.06,3.49,3,3,0.9,3097
4,3,3,1,4.49,3.08,11.71,2,2,0.75,3108
2,2,1,1,6.48,6.48,11.96,2,2,1.0,3130
2,2,1,1,1.55,1.55,1.86,2,2,1.0,3131
6,5,4,2,2.23,2.3,4.33,2,2,0.833,3160
2,2,0,0,0.33,0.33,0.35,1,1,1.0,3165
1,1,0,0,2.39,2.39,2.39,1,1,1.0,3198
2,2,1,0,4.09,4.09,7.83,1,1,1.0,3208
5,5,4,2,1.5,1.2,2.41,2,2,1.0,3218
1,1,0,0,15.34,15.34,15.34,1,1,1.0,3235
2,2,1,0,4.61,4.61,6.25,1,1,1.0,3246
3,3,1,1,6.03,0.38,17.33,2,2,1.0,3247
1,1,0,0,7.41,7.41,7.41,1,1,1.0,3254
8,6,7,2,5.27,1.07,30.32,2,2,0.75,3255
1,1,0,0,39.63,39.63,39.63,1,1,1.0,3257
1,1,0,0,7.08,7.08,7.08,1,1,1.0,3271
28,21,18,3,0.77,0.36,4.65,2,2,0.75,3275
6,6,3,1,4.84,1.68,19.95,2,2,1.0,3280
5,5,4,1,2.09,0.79,5.0,2,2,1.0,3286
10,4,6,1,1.7,0.16,12.39,2,2,0.4,3309
3,3,2,1,10.23,5.36,23.33,2,2,1.0,3310
11,7,3,2,2.04,0.34,13.7,2,2,0.636,3312
