IDPERSONA,PC1,PC2
3807,0.10667051,-0.07262216
3808,0.08473559,0.0093271565
3810,0.04487793,-0.1294654
3811,0.13470295,-0.08138901
3814,0.13275422,0.047361717
3818,-0.07301211,-0.0076076207
3820,0.16230977,0.030971697
3821,0.14272384,0.046333566
3829,0.11264553,-0.06246896
3962,0.1210237,0.053669456
3973,0.119608,0.031839058
3987,0.07683932,0.05811174
3990,-0.012536723,0.013645986
4001,0.06207627,-0.00881682
4024,0.049467675,-0.005625217
4029,-0.010765383,-0.24468465
4036,0.067910194,0.02685887
4062,0.042010646,0.05613025
4067,0.12000671,0.046015557
4075,0.029089529,-0.12409814
4082,0.09760025,0.022241972
4100,0.0057497355,0.058633342
4103,0.004349918,-0.030587858
4107,0.010928063,0.07052822
4109,0.1328594,0.06969999
4128,-0.08981202,-0.114496894
4134,-0.1631706,0.014067038
4135,0.031268906,-0.21472268
4145,0.019252228,-0.11692856
4163,-0.0012209255,-0.018108863
4199,0.049624175,0.00011273658
4225,-0.24269733,0.119478546
4231,0.10662179,-0.027641635
4233,0.14041361,0.052038196
4242,0.13458489,-0.045685045
4267,0.05406644,-0.07827805
4273,0.041107383,-0.10609164
4279,0.08170099,-0.008990842
4294,0.015988143,-0.013541441
4296,0.039906424,-0.13522927
4300,0.010503252,-0.041972745
4329,0.12788789,0.033065006
4330,-0.07605977,-0.06968741
4336,-0.22001965,-0.0370748
4337,0.0021618074,-0.03818015
4342,0.048555944,-0.14777794
4343,0.16277929,0.04770558
4348,-0.1347273,0.13108853
4353,0.104501106,0.012213355
4383,-0.01420731,0.089577794
4389,-0.081320256,-0.011821449
4395,-0.070189655,0.029083397
4401,0.15924238,-0.0479255
4427,-0.12785521,0.12183074
4444,-0.019099096,-0.03383347
4466,-0.023009095,-0.20873502
4488,-0.16026805,-0.033171836
4490,0.009572848,-0.22532265
4500,-0.2226231,-0.09759035
4512,0.121993676,0.015043522
4527,0.15355198,0.060934238
4556,-0.253403,0.115346976
4560,0.13765173,0.0477803
4584,0.14153624,0.020076916
4627,-0.009330397,-0.22062989
4635,0.1725769,0.026044624
4667,-0.01562784,0.037401393
4675,0.07235482,0.016964689
4700,-0.10006743,-0.054653015
4707,0.1414771,0.014286635
4714,0.16597253,0.0375444
4718,0.13671902,0.08015383
4736,0.1277519,-0.030755052
4742,0.031391982,0.12257166
4776,0.041253038,0.008203126
4819,0.101840675,0.03817654
4829,0.08890981,0.06554212
4830,-0.043265782,-0.0011214172
4835,0.120603435,-0.024769291
4860,0.101126894,-0.06335924
4871,0.09890433,-0.0050792014
4894,0.11020139,0.055651635
4901,0.12079402,0.032742977
4924,0.10386512,-0.07405072
4960,0.028085236,0.10210394
4971,0.17595245,0.03338065
5027,0.032089587,-0.16138813
5087,0.16598825,0.047566783
5185,0.12963219,0.045892056
5280,0.1031174,-0.012864145
5290,0.09393584,-0.042188767
5307,0.08343148,-0.007303733
5323,0.0021110696,-0.030369135
5325,0.016862527,-0.2035473
5336,0.056657065,-0.177829
5337,0.0309331,-0.17724082
5339,0.13414243,-0.07923138
5356,0.11738679,-0.08040839
5361,0.078132115,-0.08274065
5371,0.1288694,0.024235921
5388,0.104947835,-0.065451354
5417,0.049369197,-0.014179028
5422,-0.07137873,-0.036330596
5436,0.040255904,-0.21447703
5460,0.031528033,-0.13532801
5474,0.0786514,0.049420394
5478,-0.20061372,-0.030220961
5515,0.07580303,0.0675972
5522,0.08175275,0.07953823
5559,0.07168332,-0.025705824
5561,0.07168194,0.060708005
5573,-0.0007919601,-0.016167708
5583,0.1489533,0.07293014
5588,0.17787346,0.078268744
5590,0.16153376,0.08268604
5592,-0.1227354,0.14999658
5601,0.16283332,0.061781876
5607,0.07286564,-0.01618999
5616,-0.1220744,0.028364494
5653,-0.00021311692,-0.23422505
5821,-0.04527834,-0.08188837
5831,0.13185786,0.058229
5847,-0.24788398,0.0975839
6056,0.08477094,-0.008952736
6120,0.027191756,-0.010066194
6127,0.008095436,0.09664377
6160,0.038024243,0.017386356
6163,-0.0586662,-0.039772224
6241,0.15218195,0.06411874
6364,-0.07969145,-0.052648548
6810,-0.018088507,-0.027852984
6811,0.15650056,0.040407185
6847,-0.018904692,-0.11079215
6870,-0.0020517027,-0.2481075
6939,0.08403134,0.012431478
6992,-0.011564263,-0.20886056
7125,0.04364273,0.07055453
7179,-0.20274,-0.07548893
7197,-0.16400772,-0.08531455
7232,0.13841906,0.031083656
7265,-0.12892386,0.058810234
7281,0.09887188,0.01911082
7308,0.105445094,-0.0726803
7351,0.08435453,-0.07226012
7374,0.0018369975,-0.03827698
7389,0.081923716,0.012417339
7416,-0.08001095,0.047542047
7419,0.08691325,0.039741434
7443,-0.012166507,-0.08411904
7711,-0.24964511,0.130086
7726,0.07054727,-0.0076592355
7772,-0.15535359,0.121822596
7809,0.06386024,-0.011798362
7933,0.058989596,0.071835555
7934,-0.14732672,-0.08964725
7965,0.050392978,0.047085207
8024,-0.06341728,0.016787361
8052,-0.12258503,0.122752436
8120,0.054625213,-0.15645397
8244,0.09662843,-0.02566036
8293,-0.026319925,-0.01725325
8301,0.06454322,-0.05435421
8327,0.019737937,-0.22157036
8331,0.029384233,-0.108698465
8335,0.14152378,0.08572532
8403,0.063689135,0.039567046
8433,0.12638949,0.0004807332
8441,-0.13071948,0.0061996966
8442,0.14786476,0.051938195
8446,0.06113121,-0.14256518
8457,0.15678552,0.09546816
8497,0.13908386,-0.045773238
