IDPERSONA,N_TRAMOS_ROL,N_CATEGORIAS_ROL_DISTINTAS,CATEGORIA_CARGO_ACTUAL,TIPOEMPLEADO_CATEGORIA_ACTUAL,CARGO_ACTUAL_ESTRUCTURAL,UNIDAD_ACTUAL_ESTRUCTURAL,VIGENTE_TRAMO_ESTRUCTURAL,ANIOS_EN_CATEGORIA_ACTUAL,CATEGORIA_CARGO_PRIMERA,ES_TRAYECTORIA_ESTABLE,ES_MIXTO,CARGOS_ACTUALES_MIXTO,CATEGORIAS_ACTUALES_MIXTO,DURACION_MEDIANA_TRAMO_ANIOS,TURBULENCIA_TRAMOS,ENTROPIA_CATEGORIA_CARGO,PROPORCION_ANIOS_ADMINISTRATIVO,N_TRANSICIONES_ROL,N_TRANSICIONES_AA_A_DD,N_TRANSICIONES_DD_A_AA,TUVO_TRANSICION_AA_A_DD,TUVO_TRANSICION_DD_A_AA,ANIOS_DESDE_ULTIMA_TRANSICION,N_ROLES_ADICIONALES_SIMULTANEOS_DISTINTOS,CATEGORIA_ROL_ADICIONAL_MAS_RECIENTE,TUVO_ROL_ADICIONAL_SIMULTANEO,ANIOS_EN_UNIDAD_ACTUAL,TUVO_FUNCION_ADICIONAL,N_FUNCIONES_ADICIONALES,N_CATEGORIAS_FUNCION_ADICIONAL_DISTINTAS,TUVO_SUBROGACION,N_SUBROGACIONES,TUVO_FUNCION_NO_COINCIDENTE_CON_CONTRATO,CATEGORIA_FUNCION_ADICIONAL_MAS_RECIENTE,CARGO_PUNTUAL_VIGENTE,UNIDAD_PUNTUAL_VIGENTE,CATEGORIA_PUNTUAL_VIGENTE,TIPOEMPLEADO_PUNTUAL_VIGENTE
14499,1,1,AUXILIAR_AYUDANTE_OPERATIVO,ADMINISTRATIVO,AUXILIAR DE SERVICIOS,FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,True,19.21,AUXILIAR_AYUDANTE_OPERATIVO,True,False,,,19.21,,-0.0,1.0,0,0,0,False,False,,0,,False,7.7,False,0,0,False,0,False,,,,,
14547,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,0.11,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.11,,-0.0,0.0,0,0,0,False,False,,0,,False,0.11,False,0,0,False,0,False,,,,,
14613,21,4,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2,CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR,True,1.4,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,0.01,2.6,0.9133,0.8489,3,1,1,True,True,10.79,0,,False,1.4,False,0,0,False,0,False,,,,,
14617,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 4 (TC),DIRECCIÓN DE ADMISIONES,False,0.6,TECNICO_DOCENTE_APOYO,True,False,,,0.6,,-0.0,0.0,0,0,0,False,False,,0,,False,0.6,False,0,0,False,0,False,,,,,
14623,2,2,TECNICO_OPERATIVO_MANTENIMIENTO,ADMINISTRATIVO,TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS,DESCONOCIDA,False,1.0,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,3.07,0.95,0.4437,0.1624,1,0,1,False,True,9.7,0,,False,2.14,True,1,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
14627,3,3,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2,CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR,True,10.79,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,1.66,1.3,0.5418,1.0,2,0,0,False,False,10.79,0,,False,9.87,False,0,0,False,0,False,,,,,
14710,1,1,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE SEGUIMIENTO A GRADUADOS 3,GERENCIA DE BIENESTAR POLITÉCNICO,True,8.79,PROFESIONAL_ANALISTA,True,False,,,8.79,,-0.0,1.0,0,0,0,False,False,,1,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,True,3.85,True,1,1,True,1,False,OTROS_AA,,,,
17054,6,2,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 3 (TC),DIRECCIÓN DE ADMISIONES,True,3.3,DOCENTE_INVESTIGADOR,False,False,,,0.36,1.5,0.5322,0.0,1,0,0,False,False,5.31,0,,False,3.3,False,0,0,False,0,False,,,,,
17123,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DE LABORATORIO 1 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,True,1.49,TECNICO_DOCENTE_APOYO,True,False,,,1.49,,-0.0,0.0,0,0,0,False,False,,0,,False,1.49,False,0,0,False,0,False,,,,,
17519,3,2,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE INFRAESTRUCTURA INFORMÁTICA 2,"FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL",True,11.29,JEFATURA_SUPERVISION_OPERATIVA,False,False,,,0.67,1.52,0.2112,1.0,1,0,0,False,False,11.7,0,,False,4.79,False,0,0,False,0,False,,,,,
18327,6,3,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 1 (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,True,2.57,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,1.98,0.85,0.8395,0.1007,5,1,1,True,True,2.57,0,,False,11.96,False,0,0,False,0,False,,,,,
19999,1,1,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA DE SERVICIOS GENERALES,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,False,8.34,PROFESIONAL_ANALISTA,True,False,,,8.34,,-0.0,1.0,0,0,0,False,False,,0,,False,8.34,False,0,0,False,0,False,,,,,
20698,4,2,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 4 (MT),DIRECCIÓN DE ADMISIONES,False,0.2,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,0.47,1.06,0.518,0.0,1,0,0,False,False,8.7,0,,False,0.2,False,0,0,False,0,False,,,,,
21004,3,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,False,4.75,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,0.84,1.23,0.2159,0.056,1,1,0,True,False,12.34,0,,False,3.75,False,0,0,False,0,False,,,,,
21436,1,1,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 3 (MT),DIRECCIÓN DE ADMISIONES,False,0.22,TECNICO_DOCENTE_APOYO,True,False,,,0.22,,-0.0,0.0,0,0,0,False,False,,0,,False,0.22,False,0,0,False,0,False,,,,,
21772,3,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,True,1.79,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,1.79,1.09,0.1072,0.0224,2,1,1,True,True,1.79,0,,False,1.79,True,1,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
21845,16,2,PROFESIONAL_ANALISTA,ADMINISTRATIVO,ANALISTA ESTADÍSTICO ACADÉMICO,"FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL",True,0.04,TECNICO_OPERATIVO_MANTENIMIENTO,False,False,,,0.01,3.53,0.1657,1.0,1,0,0,False,False,10.79,0,,False,0.04,False,0,0,False,0,False,,,,,
21907,5,2,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (MT),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,False,0.38,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,0.39,0.75,0.1534,0.0355,1,1,0,True,False,14.34,0,,False,0.38,False,0,0,False,0,False,,,,,
22230,7,2,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 3 (TC),DIRECCIÓN DE ADMISIONES,False,0.28,DOCENTE_NO_TITULAR_OCASIONAL,False,False,,,0.39,0.24,0.355,0.0,1,0,0,False,False,2.99,0,,False,0.28,False,0,0,False,0,False,,,,,
22233,4,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),DECANATO DE GRADO,True,1.34,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,2.34,0.78,0.0,0.0,0,0,0,False,False,,0,,False,1.34,True,3,1,False,0,True,JEFATURA_SUPERVISION_OPERATIVA,,,,
22250,7,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,False,0.36,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,0.39,0.06,0.0,0.0,0,0,0,False,False,,0,,False,0.36,False,0,0,False,0,False,,,,,
22321,1,1,DOCENTE_NO_TITULAR_OCASIONAL,DOCENTE,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,True,10.46,DOCENTE_NO_TITULAR_OCASIONAL,True,False,,,10.46,,-0.0,0.0,0,0,0,False,False,,0,,False,10.46,False,0,0,False,0,False,,,,,
22783,15,4,TECNICO_DOCENTE_APOYO,DOCENTE,TÉCNICO DOCENTE 3 (TC),DIRECCIÓN DE ADMISIONES,True,0.34,AUXILIAR_AYUDANTE_OPERATIVO,False,False,,,0.36,0.63,1.1403,0.1732,3,1,0,True,False,5.31,0,,False,0.34,False,0,0,False,0,False,,,,,
