IDPERSONA,IDESTRUCTURAORGANICA,UNIDAD_FUNCION,FUNCION_ADICIONAL,CATEGORIA_FUNCION_ADICIONAL,ES_SUBROGACION,ROL_SUBROGADO,CATEGORIA_ROL_SUBROGADO,NIVEL_FUNCION,DETALLE_NIVEL_FUNCION,FECHA_DESDE,FECHA_HASTA,DURACION_DIAS,ES_REPRESENTANTE_ESTUDIANTIL,ES_RUIDO_CALIDAD_DATOS,ES_DUPLICADO_EXACTO,ES_RUIDO_FUERA_DE_POBLACION,TIPOEMPLEADO_CONTRATO_DURANTE,CATEGORIA_CARGO_CONTRATO_DURANTE,ES_COINCIDENTE_CONTRATO
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-06-19,2019-06-22,3,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-07-18,2019-07-20,2,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-08-11,2019-08-15,4,False,False,False,False,DOCENTE,DOCENTE_CONTRATADO_SERVICIOS_CIVILES,False
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2019-10-16,2019-10-19,3,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2020-02-21,2020-03-02,10,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2020-10-12,2020-10-13,1,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-04-05,2021-04-09,4,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-05-03,2021-05-05,2,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-07-14,2021-07-17,3,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-09-04,2021-09-15,11,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-09-30,2021-10-01,1,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2021-11-15,2021-11-24,9,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-03-02,2022-03-12,10,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-03-28,2022-04-01,4,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-05-02,2022-05-07,5,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-07-11,2022-07-12,1,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-09-12,2022-09-14,2,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-09-18,2022-09-24,6,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-10-10,2022-10-16,6,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
96,2,RECTORADO,Subrogación,OTROS_AA,True,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,,,2022-10-30,2022-11-06,7,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
129,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Administración de Empresas,2018-05-01,2020-02-21,661,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
149,25,FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,Coordinador de carrera,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Minas,2017-02-07,2017-08-17,191,False,False,False,False,,,
179,25,FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA,Coordinador de carrera,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Geología,2017-01-12,2017-08-17,217,False,False,False,False,,,
195,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador de programa de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,POSGRADO,Maestría en Arqueología del Neotrópico,2018-05-02,2021-05-24,1118,False,False,False,False,DOCENTE,DOCENTE_HONORARIO_ESPECIAL,False
195,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador de carrera,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Arqueología,2018-05-02,2021-04-30,1094,False,False,False,False,DOCENTE,DOCENTE_HONORARIO_ESPECIAL,False
195,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Coordinador de programa de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,POSGRADO,Maestría en Ciencias Económicas,2019-10-01,2021-12-31,822,False,False,False,False,DOCENTE,DOCENTE_HONORARIO_ESPECIAL,False
215,12,FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,Miembro del consejo politécnico,OTROS_AA,False,,,,,2016-12-14,2019-12-13,1094,False,False,False,False,DOCENTE,DOCENTE_TITULAR_CARRERA,False
228,16,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Computación,2017-05-02,2017-09-22,143,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
228,16,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Computación,2017-10-04,2019-01-15,468,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
228,16,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Computación,2019-01-16,2019-04-21,95,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
228,16,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,Coordinador de vinculación con la sociedad,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Computación,2019-09-18,,2554,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
231,127,DIRECCIÓN DE DESARROLLO DE APLICACIONES,Subrogación,OTROS_AA,True,Director,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,,,2023-03-14,2023-03-31,17,False,False,False,False,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,True
231,127,DIRECCIÓN DE DESARROLLO DE APLICACIONES,Subrogación,OTROS_AA,True,Director,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,,,2023-09-13,2023-09-16,3,False,False,False,False,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,True
244,12,FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,Coordinador de carrera,JEFATURA_SUPERVISION_OPERATIVA,False,,,GRADO,Estadística,2017-12-05,2019-05-06,517,False,False,False,False,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,False
253,17,FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,Subdecano,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,2013-09-19,2014-09-30,376,False,False,False,False,,,
266,44,CENTRO DE INVESTIGACIONES Y SERVICIOS EDUCATIVOS,Director,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,False,,,,,2014-06-01,2018-01-31,1340,False,False,False,False,ADMINISTRATIVO,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,True
272,2,RECTORADO,Rector,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,1959-04-01,1960-08-31,518,False,False,False,False,,,
274,61,FACULTAD DE CIENCIAS DE LA VIDA,Decano,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,2015-09-01,2017-11-12,803,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
274,61,FACULTAD DE CIENCIAS DE LA VIDA,Decano,AUTORIDAD_ACADEMICA_SUPERIOR,False,,,,,2017-11-13,2019-02-11,455,False,False,False,False,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,True
274,123,CENTRO DE INVESTIGACIONES RURALES,Director,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,False,,,,,2020-07-20,,2248,False,False,False,False,ADMINISTRATIVO,CONTRATO_SERVICIOS_PROFESIONALES_PROYECTO,False
291,16,FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,Coordinador de programa de postgrado,JEFATURA_SUPERVISION_OPERATIVA,False,,,POSGRADO,Maestría en Sistemas Eléctricos de Potencia,2010-04-05,2018-04-30,2947,False,False,False,False,,,
303,7,GERENCIA JURÍDICA,Gerente,AUTORIDAD_ADMINISTRATIVA_SUPERIOR,False,,,,,2015-10-01,2017-11-12,773,False,False,False,False,,,
