IDPERSONA,TIPOEMPLEADO_DESC,CATEGORIA_CARGO,TRAMO_INICIO,TRAMO_FIN,N_CONTRATOS,CARGO_TRAMO,UNIDAD_TRAMO
2105,ADMINISTRATIVO,ASISTENCIA_SECRETARIAL_OFICINA,2000-04-17,2003-09-14,8,ASISTENTE DE TESORERÍA,DESCONOCIDA
2105,ADMINISTRATIVO,OTROS_AA,2003-09-15,2004-06-30,3,TESORERA (E),DESCONOCIDA
2105,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,2004-07-01,2009-12-31,1,TESORERO DE ESPOL,DESCONOCIDA
2105,ADMINISTRATIVO,OTROS_AA,2010-01-01,2014-12-31,1,TESORERA GENERAL (E),DESCONOCIDA
2105,ADMINISTRATIVO,JEFATURA_SUPERVISION_OPERATIVA,2015-01-01,2025-11-01,26,TESORERO GENERAL,GERENCIA FINANCIERA
2124,ADMINISTRATIVO,SERVICIOS_GENERALES_OFICIOS,2013-02-01,2025-09-29,32,OPERARIO DE TALLER DE IMPRENTA,GERENCIA DE COMUNICACIÓN
2125,DOCENTE,TECNICO_DOCENTE_APOYO,2021-05-25,2021-12-31,1,TÉCNICO DOCENTE 4 (TC),DIRECCIÓN DE ADMISIONES
2125,DOCENTE,TECNICO_DOCENTE_APOYO,2023-05-29,2024-12-31,4,TÉCNICO DOCENTE 3 (TC),DIRECCIÓN DE ADMISIONES
2137,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2016-10-01,,25,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS
2146,ADMINISTRATIVO,AUXILIAR_AYUDANTE_OPERATIVO,2001-05-07,2014-12-31,10,AUXILIAR DE ACTIVOS FIJOS,DESCONOCIDA
2146,ADMINISTRATIVO,PROFESIONAL_ANALISTA,2015-01-01,,31,ANALISTA DE INFORMACIÓN BIBLIOTECARIO,CENTRO DE INFORMACIÓN BIBLIOTECARIA
2147,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2016-03-01,2016-07-31,1,PROFESOR NO TITULAR OCASIONAL (TC),DESCONOCIDA
2147,DOCENTE,DOCENTE_TITULAR_CARRERA,2016-08-01,,33,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR
2152,DOCENTE,DOCENTE_TITULAR_CARRERA,2004-09-01,2005-08-30,1,PROFESOR,DESCONOCIDA
2152,DOCENTE,DOCENTE_TITULAR_CARRERA,2005-10-01,,44,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN
2161,ADMINISTRATIVO,PROFESIONAL_ANALISTA,2008-10-13,2010-02-28,2,PROFESIONAL,DESCONOCIDA
2161,DOCENTE,DOCENTE_TITULAR_CARRERA,2012-03-01,2014-10-05,2,PROFESOR TITULAR AUXILIAR (TC),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA
2161,DOCENTE,AUTORIDAD_ACADEMICA_SUPERIOR,2014-10-06,2016-01-11,2,DECANO(A),DESCONOCIDA
2161,DOCENTE,DOCENTE_TITULAR_CARRERA,2016-01-12,,4,PROFESOR TITULAR AGREGADO 3 (TC),FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA
2167,DOCENTE,DOCENTE_NO_TITULAR_OCASIONAL,2012-05-14,2013-09-20,2,PROFESOR PREGRADO,DESCONOCIDA
