IDPERSONA,CARGO,UNIDAD,INICIO,FIN,DURACION_ANIOS,ES_SIGNIFICATIVO,ES_PARALELO
529,PROFESOR PREGRADO,DESCONOCIDA,1984-10-29,1985-03-02,0.34,True,True
529,PROFESOR PREGRADO,DESCONOCIDA,1985-10-01,1988-09-30,3.0,True,False
529,ASESORÍA EN EL DESARROLLO DE PROGRAMA DE EXTENCIÓN DEL CENAIM,DESCONOCIDA,1994-04-01,1995-03-30,0.99,True,True
529,PROFESOR PREGRADO,DESCONOCIDA,1994-05-23,1995-10-06,1.37,True,True
529,PROFESOR PREGRADO,DESCONOCIDA,1999-05-25,2003-03-07,3.78,True,False
529,PROFESOR PREGRADO,DESCONOCIDA,2003-10-20,2012-12-31,9.2,True,True
529,PARTICIPACIÓN EN CALIDAD DE VOCAL DE MAESTRÍA DE DOCENCIA E INVESTIGACIÓN EDUCATIVA,DESCONOCIDA,2003-11-01,2004-04-30,0.5,True,True
529,PROFESOR NO TITULAR OCASIONAL 1 (TC),"FACULTAD DE INGENIERIA MARÍTIMA, CIENCIAS BIOLÓGICAS, OCEÁNICAS Y RECURSOS NATURALES",2014-10-01,2018-04-30,3.58,True,False
568,TÉCNICO DOCENTE,DESCONOCIDA,2015-01-01,2015-12-31,1.0,True,False
568,PROFESOR NO TITULAR OCASIONAL 2 (TC),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2016-05-02,2017-12-31,1.66,True,False
568,TÉCNICO DOCENTE 4 (TC),DECANATO DE GRADO,2018-01-01,2021-03-21,3.22,True,False
597,PROFESOR,DESCONOCIDA,1981-09-18,2009-12-31,28.28,True,False
597,PROFESOR TITULAR PRINCIPAL (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,2013-01-01,2021-04-01,8.25,True,False
618,PROFESOR,DESCONOCIDA,1986-10-20,1987-09-26,0.93,True,False
618,PROFESOR,DESCONOCIDA,2002-05-20,2003-03-07,0.8,True,False
618,PROFESOR NO TITULAR OCASIONAL,DESCONOCIDA,2013-05-13,2013-09-20,0.36,True,False
618,PROFESOR NO TITULAR OCASIONAL (TC),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2014-01-01,2020-02-21,6.14,True,False
641,PROFESOR NO TITULAR OCASIONAL (MT),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2015-01-01,2015-03-13,0.19,False,False
641,PROFESOR NO TITULAR OCASIONAL (MT),DESCONOCIDA,2015-05-11,2015-10-02,0.39,True,False
641,PROFESOR NO TITULAR OCASIONAL (MT),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2015-10-19,2016-02-28,0.36,True,False
641,PROFESOR NO TITULAR OCASIONAL 1 (MT),FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS,2016-05-02,2017-03-17,0.87,True,False
653,PROFESOR PREGRADO,DESCONOCIDA,1988-05-30,1988-09-24,0.32,True,False
653,PROFESOR PREGRADO,DESCONOCIDA,1991-11-04,1992-03-06,0.34,True,False
653,PROFESOR PREGRADO,DESCONOCIDA,1994-10-17,1997-10-03,2.96,True,True
653,PROFESOR ACCIDENTAL,DESCONOCIDA,1997-10-02,1998-10-01,1.0,True,True
653,PROFESOR PREGRADO,DESCONOCIDA,1998-10-14,2003-02-14,4.34,True,False
653,PROFESOR PREGRADO,DESCONOCIDA,2004-10-18,2008-03-05,3.38,True,False
653,PROFESOR TITULAR PRINCIPAL 1 (TC),DESCONOCIDA,2010-01-01,2019-11-01,9.83,True,False
656,PROFESOR PREGRADO,DESCONOCIDA,2002-05-20,2005-03-08,2.8,True,False
656,PROFESOR PREGRADO,DESCONOCIDA,2005-10-17,2013-05-12,7.57,True,True
656,DIRECTOR DE 1 PROYECTO DE GRADO,DESCONOCIDA,2006-10-01,2006-10-30,0.08,False,True
656,DIRECTOR DE 1 PROYECTO  DE GRADO,DESCONOCIDA,2007-10-15,2008-03-05,0.39,True,True
656,PROFESOR NO TITULAR OCASIONAL (TP),FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS,2014-10-01,2019-09-20,4.97,True,False
667,PROFESOR,DESCONOCIDA,1986-02-24,1986-05-23,0.24,False,False
667,PROFESOR ACCIDENTAL,DESCONOCIDA,1988-11-08,1997-01-15,8.19,True,False
667,PROFESOR TITULAR PRINCIPAL (TC),FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN,1997-01-16,,29.66,True,False
671,RESPONSABLE DEL LABORATORIO DE ANÁLISIS DE ALIMENTOS,DESCONOCIDA,1981-01-05,1982-06-04,1.41,True,False
671,ASISTENTE TÉCNICO DE LABORATORIO,DESCONOCIDA,1982-06-05,1982-11-25,0.47,True,True
671,JEFE DE LABORATORIO DE ANÁLISIS Y QUÍMICA DE ALIMENTOS,DESCONOCIDA,1982-07-05,1983-07-04,1.0,True,True
671,INSTRUCTORA A TIEMPO COMPLETO,DESCONOCIDA,1983-01-13,1984-10-14,1.75,True,True
671,PROFESOR ACCIDENTAL,DESCONOCIDA,1984-10-15,1985-04-11,0.49,True,True
671,SUPERVISIÓN DE PRACTICAS INSDUSTRIALES II,DESCONOCIDA,1985-04-11,1985-05-10,0.08,False,True
671,PROFESOR AUXILIAR,DESCONOCIDA,1985-10-28,1986-02-24,0.33,True,True
671,PROFESOR PRE-POLITÉCNICO,DESCONOCIDA,1986-02-24,1986-03-23,0.07,False,True
671,PROFESOR PRE-POLITÉCNICO,DESCONOCIDA,1993-02-08,1993-05-21,0.28,True,False
671,PROFESOR PRE-POLITÉCNICO,DESCONOCIDA,1996-02-12,1997-05-10,1.24,True,False
671,PROFESOR PRE-POLITÉCNICO,DESCONOCIDA,1998-02-10,1998-05-16,0.26,True,False
671,GERENTE TÉCNICO DEL LABORATORIO DE PROTAL DE LA ESPOL,DESCONOCIDA,2008-01-01,2008-09-30,0.75,True,False
671,PROFESOR TITULAR PRINCIPAL (TC),DESCONOCIDA,2010-01-01,2021-07-01,11.5,True,False
675,PROFESOR PREGRADO,DESCONOCIDA,1987-03-09,1987-05-08,0.16,False,False
675,PROFESOR ACCIDENTAL,DESCONOCIDA,1987-05-18,1988-05-08,0.97,True,True
675,PROFESOR PREGRADO,DESCONOCIDA,1988-03-14,1988-05-04,0.14,False,True
675,PROFESOR TITULAR PRINCIPAL 1 (TC),FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN,1988-05-09,,38.35,True,True
675,JEFE DE PROYECTO,DESCONOCIDA,1996-02-15,1996-06-14,0.33,True,True
678,PROFESOR PREGRADO,DESCONOCIDA,1984-05-14,1985-10-11,1.41,True,False
678,PROFESOR ACCIDENTAL,DESCONOCIDA,1987-05-18,1988-05-30,1.03,True,True
678,PROFESOR PREGRADO,DESCONOCIDA,1988-03-17,1988-04-30,0.12,False,True
678,PROFESOR AUXILIAR,DESCONOCIDA,1988-05-31,1990-05-30,2.0,True,False
678,PROFESOR PREGRADO,DESCONOCIDA,1999-06-01,2000-02-28,0.74,True,False
678,PROFESOR,DESCONOCIDA,2001-07-01,2001-10-31,0.33,True,False
678,PROFESOR PREGRADO,DESCONOCIDA,2004-03-09,2004-05-08,0.16,False,False
678,PROFESOR PREGRADO,DESCONOCIDA,2005-01-01,2005-01-31,0.08,False,False
678,PROFESOR PREGRADO,DESCONOCIDA,2005-09-01,2006-07-01,0.83,True,False
678,PROFESOR PRINCIPAL,DESCONOCIDA,2010-01-01,2012-09-19,2.72,True,False
