IDPERSONA,N_REGISTROS_TEXTO,N_FUENTES_DISTINTAS,LONGITUD_TOTAL_CARACTERES
659679,48.0,8.0,4366.0
13505,45.0,3.0,1505.0
55230,41.0,6.0,4021.0
57204,65.0,8.0,4873.0
54246,6.0,1.0,239.0
634600,78.0,2.0,3106.0
56109,1.0,1.0,20.0
13876,21.0,6.0,1451.0
58137,4.0,2.0,131.0
662124,24.0,3.0,1666.0
14390,11.0,5.0,898.0
78520,8.0,4.0,920.0
652545,57.0,5.0,2524.0
664137,4.0,3.0,144.0
57181,11.0,3.0,391.0
651497,7.0,2.0,261.0
660358,10.0,3.0,419.0
56431,18.0,3.0,971.0
86407,26.0,5.0,2083.0
662863,2.0,1.0,133.0
55753,101.0,7.0,7384.0
56809,22.0,4.0,624.0
80019,5.0,2.0,621.0
56170,13.0,3.0,278.0
650957,10.0,2.0,465.0
673638,40.0,5.0,2646.0
56565,19.0,3.0,333.0
13055,31.0,6.0,1769.0
57652,11.0,3.0,1612.0
57074,21.0,4.0,1264.0
58345,23.0,3.0,1026.0
56680,12.0,4.0,1318.0
55819,19.0,2.0,972.0
56743,47.0,7.0,3240.0
51050,8.0,4.0,675.0
59670,36.0,7.0,4368.0
56426,2.0,2.0,222.0
55731,26.0,5.0,2385.0
56413,15.0,3.0,1614.0
59225,19.0,5.0,992.0
59829,23.0,2.0,714.0
662113,23.0,3.0,1045.0
58382,18.0,3.0,643.0
59852,20.0,3.0,792.0
58297,2.0,2.0,304.0
57199,52.0,5.0,6340.0
58143,1.0,1.0,20.0
58915,41.0,7.0,2748.0
645953,37.0,3.0,1509.0
56180,7.0,4.0,372.0
56277,6.0,2.0,480.0
58749,22.0,5.0,1671.0
60719,14.0,3.0,656.0
60619,9.0,2.0,400.0
56567,12.0,4.0,450.0
60511,21.0,4.0,886.0
59484,61.0,8.0,6407.0
95575,36.0,7.0,2525.0
56189,39.0,4.0,1639.0
58154,47.0,6.0,3465.0
65560,10.0,2.0,605.0
58898,6.0,2.0,409.0
683862,3.0,3.0,103.0
61041,17.0,3.0,1825.0
662865,14.0,3.0,504.0
54699,7.0,2.0,236.0
658334,1.0,1.0,186.0
77512,8.0,4.0,252.0
58627,7.0,3.0,395.0
654350,8.0,2.0,274.0
662525,18.0,2.0,536.0
98956,10.0,2.0,309.0
57815,1.0,1.0,30.0
56978,17.0,3.0,699.0
60260,24.0,7.0,1378.0
58711,35.0,6.0,3058.0
57573,62.0,3.0,2631.0
658711,3.0,3.0,205.0
58621,45.0,3.0,2032.0
81396,23.0,1.0,3772.0
654356,16.0,5.0,1093.0
57365,45.0,3.0,2003.0
94835,10.0,3.0,613.0
644484,0.0,0.0,0.0
59818,25.0,5.0,2450.0
662184,24.0,4.0,2786.0
655995,8.0,3.0,326.0
664272,4.0,2.0,161.0
59557,26.0,5.0,1201.0
57406,76.0,5.0,6804.0
57586,12.0,3.0,410.0
56825,14.0,2.0,689.0
659628,2.0,1.0,120.0
653835,10.0,2.0,512.0
58841,11.0,2.0,379.0
55817,2.0,2.0,38.0
54860,48.0,3.0,2606.0
652954,7.0,2.0,183.0
653815,13.0,1.0,392.0
654576,2.0,1.0,26.0
58795,11.0,5.0,714.0
636036,2.0,2.0,41.0
659821,1.0,1.0,14.0
59752,30.0,2.0,1092.0
61229,19.0,2.0,803.0
659646,6.0,1.0,175.0
59788,26.0,3.0,915.0
73504,32.0,3.0,1247.0
59217,11.0,2.0,346.0
59988,14.0,5.0,783.0
658367,7.0,3.0,305.0
57700,26.0,5.0,1157.0
59468,10.0,2.0,370.0
59834,2.0,2.0,189.0
60737,20.0,3.0,1113.0
59216,18.0,4.0,708.0
59450,28.0,4.0,1483.0
59524,20.0,3.0,771.0
60347,62.0,7.0,6473.0
67520,3.0,2.0,63.0
60112,14.0,7.0,1399.0
58629,6.0,5.0,307.0
59104,21.0,6.0,1251.0
56408,35.0,4.0,2546.0
58710,48.0,8.0,4228.0
56639,31.0,5.0,2176.0
655998,3.0,2.0,27.0
59495,120.0,8.0,10187.0
58819,49.0,8.0,4891.0
61199,144.0,7.0,13650.0
659586,0.0,0.0,0.0
56415,66.0,6.0,6310.0
58609,80.0,8.0,9234.0
57640,24.0,3.0,843.0
59691,20.0,5.0,1293.0
59794,88.0,7.0,6178.0
60638,17.0,4.0,1343.0
24479,48.0,9.0,3570.0
58867,6.0,2.0,210.0
68247,12.0,2.0,560.0
658690,1.0,1.0,32.0
677460,13.0,4.0,314.0
60263,9.0,4.0,762.0
56935,3.0,2.0,107.0
634530,29.0,4.0,2388.0
59239,9.0,3.0,504.0
61079,34.0,3.0,1145.0
656795,0.0,0.0,0.0
60408,10.0,4.0,398.0
60020,25.0,8.0,1860.0
56893,28.0,2.0,1019.0
58818,1.0,1.0,17.0
59853,34.0,3.0,1417.0
659583,4.0,2.0,117.0
58939,16.0,3.0,867.0
662846,19.0,3.0,968.0
97473,45.0,6.0,4735.0
59660,52.0,9.0,4926.0
637327,17.0,3.0,1810.0
59110,13.0,2.0,622.0
677461,41.0,6.0,2840.0
96491,109.0,6.0,10123.0
59774,36.0,2.0,1509.0
68191,32.0,6.0,3582.0
59234,88.0,8.0,7135.0
60381,1.0,1.0,13.0
66174,64.0,6.0,4236.0
73618,55.0,5.0,2618.0
665300,10.0,2.0,367.0
653004,26.0,2.0,1164.0
102968,13.0,4.0,708.0
652921,9.0,2.0,380.0
59525,31.0,7.0,2121.0
74154,7.0,2.0,192.0
59237,21.0,5.0,928.0
642847,11.0,2.0,358.0
59958,9.0,2.0,370.0
58645,66.0,7.0,8091.0
658663,0.0,0.0,0.0
65530,44.0,2.0,1566.0
76217,37.0,2.0,1965.0
64647,78.0,8.0,6581.0
60306,4.0,3.0,143.0
64657,42.0,7.0,2931.0
662774,5.0,2.0,163.0
658125,5.0,2.0,192.0
59904,85.0,4.0,4922.0
61032,8.0,4.0,449.0
98299,6.0,2.0,210.0
66546,11.0,1.0,369.0
73533,35.0,3.0,1241.0
66078,34.0,7.0,2361.0
66037,36.0,7.0,3198.0
61323,35.0,5.0,1569.0
647555,91.0,5.0,4196.0
